Time(s),Force(kN),Strain 1(%)
0,-0.0005,-0.0024
0.1,0.0004,-0.002
0.2,0.0028,-0.001
0.3,0.0076,-0.0001
0.4,0.0112,0.0022
0.5,0.0164,0.0039
0.6,0.0239,0.0073
0.7,0.0297,0.0095
0.8,0.0358,0.0117
0.9,0.0398,0.0131
1,0.0482,0.0171
1.1,0.0551,0.0187
1.2,0.0604,0.0211
1.3,0.0663,0.0237
1.4,0.0712,0.0251
1.5,0.0771,0.0272
1.6,0.0815,0.0294
1.7,0.0874,0.0315
1.8,0.0928,0.034
1.9,0.0991,0.036
2,0.1037,0.0378
2.1,0.1094,0.0402
2.2,0.1139,0.0417
2.3,0.1213,0.0441
2.4,0.1265,0.0471
2.5,0.1309,0.0486
2.6,0.1369,0.0507
2.7,0.1445,0.054
2.8,0.1478,0.0547
2.9,0.151,0.0568
3,0.1553,0.0586
3.1,0.1596,0.0593
3.2,0.163,0.0607
3.3,0.1661,0.0629
3.4,0.1706,0.0633
3.5,0.1746,0.0653
3.6,0.1794,0.0674
3.7,0.1823,0.0681
3.8,0.185,0.0687
3.9,0.19,0.071
4,0.1935,0.0724
4.1,0.1978,0.0742
4.2,0.202,0.0755
4.3,0.2071,0.0777
4.4,0.2123,0.0791
4.5,0.2165,0.0812
4.6,0.2234,0.0836
4.7,0.2259,0.0847
4.8,0.2293,0.0864
4.9,0.2334,0.0878
5,0.2371,0.0896
5.1,0.2418,0.0906
5.2,0.2461,0.0931
5.3,0.2496,0.0939
5.4,0.2515,0.0948
5.5,0.255,0.096
5.6,0.2617,0.099
5.7,0.2639,0.0999
5.8,0.267,0.1003
5.9,0.271,0.1018
6,0.2732,0.1028
6.1,0.2767,0.1044
6.2,0.2802,0.1055
6.3,0.2837,0.1064
6.4,0.2881,0.1085
6.5,0.2897,0.109
6.6,0.2932,0.111
6.7,0.2961,0.112
6.8,0.2985,0.1124
6.9,0.3015,0.1139
7,0.3037,0.1152
7.1,0.307,0.1165
7.2,0.3101,0.1177
7.3,0.3119,0.1187
7.4,0.3158,0.1197
7.5,0.3182,0.1209
7.6,0.3201,0.1212
7.7,0.3227,0.1234
7.8,0.3251,0.1235
7.9,0.3273,0.1242
8,0.3302,0.1258
8.1,0.3315,0.1262
8.2,0.3349,0.1274
8.3,0.336,0.128
8.4,0.3384,0.1296
8.5,0.3405,0.1303
8.6,0.3422,0.1313
8.7,0.3439,0.1313
8.8,0.3461,0.1316
8.9,0.3491,0.1331
9,0.3506,0.1338
9.1,0.3532,0.1348
9.2,0.3594,0.1373
9.3,0.3589,0.1372
9.4,0.3598,0.1382
9.5,0.3617,0.1387
9.6,0.3646,0.1404
